tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei
1000000,1,0,10000,0,10,0,100,0,172800,1,60,0,48986898912094360445862,0,0,7166638188289903690841951,7187756090749380000000000,7140381098226000000000000,0,0,0,0,15224846196694999999969,22134982460951832913103
1000000,1,1,0,0,10,0,100,0,172800,1,60,8913529162966367713234,46429067567696221397512,0,0,7044570708926999710833741,7035161188175670000000000,7017301590335000000000000,0,0,0,0,10094747995112665628795,16418511939956022794193
1000000,1,1,5000,0,10,0,100,0,172800,1,60,4445066523492711666217,46412888609839676230708,0,0,7057194623610030083663249,7051263910495870000000000,7017556589391000000000000,0,0,0,0,11946193871204484196795,19023218124392593202878
1000000,1,1,10000,0,10,0,100,0,172800,1,60,0,46471705523166982486458,0,0,7070014397165684940237952,7067469232699960000000000,7019359311800000000000000,0,0,0,0,14047706070939999999999,21411760867607686902421
1000000,2,0,0,0,10,0,100,0,172800,1,60,15206339369388504495416,42213233442964683020361,0,39808055563989108957739,4681771640819696450410957,4783336782584620000000000,4800948296246000000000000,0,0,0,0,4009999746495,0
1000000,2,0,5000,0,10,0,100,0,172800,1,60,7583626757991436653495,44477237286189219066291,0,33509374151813929420249,4681644243551162203835615,4783336782584620000000000,4801888263719000000000000,0,0,0,0,4009999745904,0
1000000,2,0,10000,0,10,0,100,0,172800,1,60,0,45417084800442098135356,0,26363988352757581130950,4681516846282627957260273,4783336782584620000000000,4802398869370000000000000,0,0,0,0,9046223451551191767,1561344790891263240
1000000,2,1,0,0,10,0,100,0,172800,1,60,16340971972977786138378,68980373754954578956505,0,57377029980573650819059,4681771640819696450410957,4783336782584620000000000,4811280968404000000000000,32,0,0,0,4009999747189,0
1000000,2,1,5000,0,10,0,100,0,172800,1,60,8123576530761098470820,70284559318518291611295,0,49975792309913791618382,4681644243551162203835615,4783336782584620000000000,4811768991872000000000000,2,0,0,0,4009999747304,0
1000000,2,1,10000,0,10,0,100,0,172800,1,60,0,69972761736167473578700,0,41655647395801998617381,4681516846282627957260273,4783336782584620000000000,4811653765788000000000000,0,0,0,0,4009999747218,0
1000000,3,0,0,0,10,0,100,0,172800,1,60,9374436687103183069780,41349644053625232740566,0,11414253339352942690950,6549913223388270621790410,6542369192576610000000000,6581678859284000000000000,0,0,0,0,4009999746320,0
1000000,3,0,5000,0,10,0,100,0,172800,1,60,4673377951418871220320,41552597699251693968053,0,6837139261379071701763,6551302869677750376145493,6544372486779690000000000,6583761150123000000000000,0,0,0,0,4009999746683,0
1000000,3,0,10000,0,10,0,100,0,172800,1,60,0,49081166571640064350523,0,4820901885309136032580,6571903977375122173917999,10353943751694650000000000,10398203852043000000000000,0,0,0,0,4009999747145,0
1000000,3,1,0,0,10,0,100,0,172800,1,60,9374436687103183069780,41349644053625232740566,0,11414253339352942690950,6549913223388270621790410,6542369192576610000000000,6581678859284000000000000,2,0,0,0,4009999746320,0
1000000,3,1,5000,0,10,0,100,0,172800,1,60,4673377951418871220320,41552597699251693968053,0,6837139261379071701763,6551302869677750376145493,6544372486779690000000000,6583761150123000000000000,0,0,0,0,4009999746683,0
1000000,3,1,10000,0,10,0,100,0,172800,1,60,0,42802178574678121643233,0,2386039113443288494141,6552692440563198351558832,6720301321847740000000000,6760717264230000000000000,0,0,0,0,4019999746217,0
1000000,4,0,0,0,10,0,100,0,172800,1,60,14804541403288625279588,72782148732209881920700,0,23897207089230852370240,6481335534803378345941160,6876699869637730000000000,6940389063287000000000000,0,0,0,0,4009999746197,0
1000000,4,0,5000,0,10,0,100,0,172800,1,60,7398735457759409848803,75095755929840818041375,0,17940983434244686831115,6465861241345332233768362,6915871823062620000000000,6980425038893000000000000,0,0,0,0,4009999745882,0
1000000,4,0,10000,0,10,0,100,0,172800,1,60,0,74887849420577829608246,0,12169541133456818540096,6449905644171202366099776,6934539208512560000000000,6995387660619000000000000,0,0,0,0,1169196509996818541289,638277275534708629269
1000000,4,1,0,0,10,0,100,0,172800,1,60,14203150406832611297970,71228910631143959881423,0,24481455765610955624322,6019776856173957088145614,5976748548337620000000000,6037698860029000000000000,0,0,0,0,4009999746543,0
1000000,4,1,5000,0,10,0,100,0,172800,1,60,7090350976084020716719,72198382907966321871683,0,18038077677209335790317,6033728039440294640723642,6043328020119140000000000,6104578372427000000000000,0,0,0,0,4009999746407,0
1000000,4,1,10000,0,10,0,100,0,172800,1,60,0,72640902802132548415477,0,12130070512520752931602,6048902456648169203405992,6066206984473060000000000,6125442505561000000000000,0,0,0,0,539497486725752932794,375896980208405435735
500000,0,0,0,0,10,0,100,0,172800,1,60,3673159303206809089868,19229086534920604726896,0,0,2453874128769430239286368,2446979036241050000000000,2440676939842000000000000,0,0,0,0,4363628679542664470185,6616476962436380773695
500000,0,0,5000,0,10,0,100,0,172800,1,60,1832067850746552340141,19229086534920604726896,0,0,2452417475621262975805298,2446979036241050000000000,2434406890339000000000000,0,0,0,0,5172331249046153705787,7648865562796380773695
500000,0,0,10000,0,10,0,100,0,172800,1,60,0,19229086534920604726896,0,0,2450966170060297641866841,2446979036241050000000000,2427158514116000000000000,0,0,0,0,5810924830989999999999,8842339550556380773695
